experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,111012_13,5_1,female,no,asian,90,2,4,3,no,7.865,1.9675,1,2.22587269,2,0,lollipops- mom's eyes,,
AEN,AEN,CDM,negtracker,19960,111012_14,5_1,female,no,other,25,2,6,6,no,1.4175,0.915,1,1.98220397,1,1,no english,,
AEN,AEN,CDM,negtracker,19960,111012_15,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.44,2.64,1,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,111012_16,5_2,female,no,white,90,2,4,NaN,no,0.9275,1.0225,1,1.516769336,1,0,,,
AEN,AEN,CDM,negtracker,19960,111012_17,5_2,male,no,white,100,1,6,6,no,1.5875,1.2575,1,2.042436687,2,0,,,
AEN,AEN,CDM,negtracker,19960,111512_01,5_2,female,no,asian,5,2,4,6,no,0.365,0.345,1,2.266940452,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,111512_02,5_2,male,no,asian,5,3,5,5,no,2.885,3.14,1,2.0862423,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,111512_03,5_2,male,no,asian,25,2,1,1,no,1.04,1.035,1,2.88843258,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,111512_04,5_2,female,yes,white,100,1,6,6,yes,0.185,1.395,0,1.377138946,1,0,"dad says ""I didn't start saying ""no"" to her until recently""",,
AEN,AEN,CDM,negtracker,19960,111512_05,5_2,male,no,white,100,1,6,6,no,1.45,1.7475,1,1.409993155,1,0,,,
AEN,AEN,CDM,negtracker,19960,111512_06,5_2,female,no,other,90,3,4,4,no,7.805,2.595,1,1.656399726,1,0,,,
AEN,AEN,CDM,negtracker,19960,111512_07,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77,1.2025,1,2.5,2,1,"no english, no data",,
AEN,AEN,CDM,negtracker,19960,111512_08,5_1,female,no,asian,50,2,3,3,yes,0.9175,0.345,0,2.694045175,2,1,mom marked 50% english but child was speaking english and mom spoke in eng to child,,
AEN,AEN,CDM,negtracker,19960,111512_09,5_1,male,yes,NaN,25,?,4,4,no,1.325,3.9375,0,2.893908282,2,1,dad marked 25% english but spoke to child in english,,
AEN,AEN,CDM,negtracker,19960,111512_10,5_1,female,yes,other,100,1,4,4,no,0.735,0.4925,1,2.335386721,2,0,,,
AEN,AEN,CDM,negtracker,19960,111512_11,5_1,female,no,white,100,2,3,4,no,2.3375,2.455,1,1.763175907,1,0,,,
AEN,AEN,CDM,negtracker,19960,112912_01,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,3,would not calibrate,,
AEN,AEN,CDM,negtracker,19960,112912_02,5_3,female,no,white,100,3,6,3,no,1.53,0.49,1,2.633812457,2,0,,,
