bank,item,a,d
eng_comprehension_full,read,2.283885099109914,-0.4907183373466319
eng_comprehension_full,red,1.9468297363917402,-4.231304630297609
eng_comprehension_full,refrigerator,2.61090462877674,-1.2546452930253997
eng_comprehension_full,ride,2.763343689234191,-1.5028719465535112
eng_comprehension_full,rock,2.1329851013736163,-2.052891374663491
eng_comprehension_full,rocking chair,1.9097995836820811,-1.9555167555224422
eng_comprehension_full,run,2.717730451400154,-2.4413809488409233
eng_comprehension_full,same,2.8373180173295482,-6.44456745098271
eng_comprehension_full,say,1.8857400449370374,-1.4773241080076147
eng_comprehension_full,scared,2.543463890127079,-5.048009434109503
eng_comprehension_full,school,1.238659776867203,-2.6142302036595817
eng_comprehension_full,scissors,2.3823131498048236,-4.164958247619317
eng_comprehension_full,see,1.8962138724041713,-0.7708673339431622
eng_comprehension_full,sheep,2.1085221617437258,-2.259847495892906
eng_comprehension_full,shh/shush/hush,1.3606168438285737,0.0022679461141825678
eng_comprehension_full,shirt,2.7935417458387657,-1.1066865794282659
eng_comprehension_full,shoe,3.0701146991769455,2.2921609405780097
eng_comprehension_full,shorts,2.3879870979800946,-3.0519674237743653
eng_comprehension_full,shovel,1.888725965420802,-3.1461829938787953
eng_comprehension_full,show,2.413325023907863,-1.4528079923039394
eng_comprehension_full,sick,2.2598525596706636,-4.320025055914831
eng_comprehension_full,sing,1.859734474677757,-1.1605354018025764
eng_comprehension_full,sink,2.9754897049687186,-3.5815553090776424
eng_comprehension_full,sister,0.29907641023907106,-1.332118157837562
eng_comprehension_full,sky,2.2435121720619495,-2.6847002469776373
eng_comprehension_full,sleep,2.4616161018769245,-0.499065222143971
eng_comprehension_full,sleepy,1.816610751438319,-0.6443827557588611
eng_comprehension_full,slide (object),2.048721498430239,-1.272371906109979
eng_comprehension_full,smile,1.5679685380733852,-1.1929992536893774
eng_comprehension_full,snow,1.3653086372507908,-3.424820144853079
eng_comprehension_full,soap,2.660167274833596,-2.167030107805442
eng_comprehension_full,sock,2.710441070985383,0.9238965749963299
eng_comprehension_full,soft,2.1548485147896135,-2.196026644007308
eng_comprehension_full,some,1.8683499862623376,-2.618811624612665
eng_comprehension_full,spaghetti,2.0001000671798157,-2.257651985836534
eng_comprehension_full,splash,1.9499223744130185,-0.43946207477227167
eng_comprehension_full,spoon,2.731803462682732,0.1710422120755703
eng_comprehension_full,squirrel,1.9542850316218612,-3.053335154521416
eng_comprehension_full,stairs,2.0246299764499387,-0.8043187551804084
eng_comprehension_full,star,2.0894992874098253,-2.994760672811376
eng_comprehension_full,stop,1.7235790962493716,-0.018750084789233137
eng_comprehension_full,store,2.495651048450826,-2.033861103022223
eng_comprehension_full,stove,2.4190204846432857,-3.319869064765206
eng_comprehension_full,stroller,2.154093187707251,0.3591925082159396
eng_comprehension_full,sun,2.6151957357184497,-3.069949693927996
eng_comprehension_full,sweater,2.022705693173697,-3.193843823522782
eng_comprehension_full,swim,1.3963378368869368,-2.249190562554546
eng_comprehension_full,swing (action),1.823617140193675,-0.9168399675330551
eng_comprehension_full,swing (object),1.6320580287128463,-0.493630462788548
eng_comprehension_full,table,3.1299386708014163,-1.5715603912835365
eng_comprehension_full,take,2.5450459782434973,-2.637974834083448
eng_comprehension_full,teacher,1.2934990239769273,-3.862195341285071
eng_comprehension_full,teddybear,1.8529842808353205,-0.006501400577334178
eng_comprehension_full,telephone,2.610261785541471,1.1737332121481234
eng_comprehension_full,thank you,1.5667105469432012,0.23563019214713404
eng_comprehension_full,that,1.649736573283141,-1.6333575746182853
eng_comprehension_full,there,1.7965516717936558,-1.6614643536983167
eng_comprehension_full,thirsty,1.8413429104935255,-1.0070820120455022
eng_comprehension_full,this,1.676285578336027,-2.0045373143104306
eng_comprehension_full,throw,2.044701879151665,0.0903267290996759
eng_comprehension_full,tickle,1.8950530279094786,-0.31664893424759927
eng_comprehension_full,tiger,2.025550001636918,-2.5708282475589987
eng_comprehension_full,tired,1.9157928179511068,-1.107649774735811
eng_comprehension_full,toast,1.7423222867372745,-1.6614086089348685
eng_comprehension_full,today,2.5934054235840613,-6.2056243225870595
eng_comprehension_full,toe,2.1811838493208264,-0.5159860562614188
eng_comprehension_full,tomorrow,2.5666727257363546,-6.657029983600228
eng_comprehension_full,tongue,1.9025439819385475,-1.2608895220593903
eng_comprehension_full,tonight,1.9541407512876432,-5.1624359594720515
eng_comprehension_full,tooth,2.4950752233699376,-0.7035591689678204
eng_comprehension_full,toothbrush,2.303436895663259,0.06872578314654498
eng_comprehension_full,touch,2.491330844851915,-1.362219457843152
eng_comprehension_full,towel,3.1871622886560225,-2.139098300681962
eng_comprehension_full,toy (object),1.8450632397401705,0.18589406792809826
eng_comprehension_full,train,2.125200331221713,-1.5426541493086259
eng_comprehension_full,trash,2.1262280620329763,-1.5212333550595274
eng_comprehension_full,tree,2.37485156210345,-1.1266956742054797
eng_comprehension_full,truck,1.79480723051555,-0.5138958503658831
eng_comprehension_full,tummy,2.1668669865928503,-0.06402076047541896
eng_comprehension_full,turkey,2.4628542734300805,-4.336009762786963
eng_comprehension_full,turtle,2.0707449038322796,-2.703188719391209
eng_comprehension_full,TV,2.3433362800322297,0.13442392317115892
eng_comprehension_full,uh oh,1.4900462202591116,1.4501345458079444
eng_comprehension_full,uncle,1.1225846680631653,-2.0602132539971842
eng_comprehension_full,under,2.3625426090892847,-2.310858588251317
eng_comprehension_full,up,1.9421928254214778,0.04342394398199275
eng_comprehension_full,vacuum,1.9535122737968562,-0.9595861458406524
eng_comprehension_full,vroom,1.387243070048879,-0.25888230802077167
eng_comprehension_full,wait,1.976227209881297,-1.2468838844762962
eng_comprehension_full,walk,2.2141438354865457,-0.11811160193951258
eng_comprehension_full,wanna/want to,2.01132880404147,-1.226967657496355
eng_comprehension_full,wash,2.652603187100341,-1.036423275070037
eng_comprehension_full,watch (action),2.257002870148436,-2.1800514441410614
eng_comprehension_full,watch (object),2.1516983261355365,-2.0053674674413604
eng_comprehension_full,water (beverage),2.1501968872029797,0.290654237382379
eng_comprehension_full,water (not beverage),2.6684373936459216,-0.05564655783333392
eng_comprehension_full,wet,2.1899485494394475,-1.4864607744315244
eng_comprehension_full,what,1.7262590278664534,-1.3641690642159243
eng_comprehension_full,when,2.587282905478524,-6.81345599558094
eng_comprehension_full,where,1.38411274237002,-0.514869428938347
eng_comprehension_full,who,1.7704444081524853,-1.966304386265651
eng_comprehension_full,why,2.077881878502681,-5.096019577422258
eng_comprehension_full,window,2.536267470377985,-1.1866718488576795
eng_comprehension_full,wipe,2.165513828700203,-1.4966506867494849
