target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
right,TRUE,Colors_familiar,5,4,Car Wheresthe_ Car,111,0,Colors_familiar-Car-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,112,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,113,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,5,4,Car Wheresthe_ Car,114,0,Colors_familiar-Car-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,115,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,6,Shoe Canyoufindthe_ Shoe,116,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,117,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,4,6,Baby Canyoufindthe_ Baby,118,0,Colors_familiar-Baby-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,4,0,Baby Canyoufindthe_ Baby,119,0,Colors_familiar-Baby-Shoe,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,120,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,0,6,Shoe Canyoufindthe_ Shoe,121,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
right,TRUE,Colors_familiar,5,0,Car Canyoufindthe_ Car,122,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,6,8,Kitty Wheresthe_ Kitty,123,0,Colors_familiar-Kitty-Ball,NA,0,eng,NA
right,TRUE,Colors_familiar,3,4,Dog Canyoufindthe_ Dog,124,0,Colors_familiar-Dog-Baby,NA,0,eng,NA
right,TRUE,Colors_familiar,0,8,Shoe Canyoufindthe_ Shoe,125,0,Colors_familiar-Shoe-Ball,NA,0,eng,NA
right,TRUE,Colors_familiar,6,4,Kitty Wheresthe_ Kitty,126,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,127,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,4,5,Baby Canyoufindthe_ Baby,128,0,Colors_familiar-Baby-Car,NA,0,eng,NA
right,TRUE,Colors_familiar,8,5,Ball Canyoufindthe_ Ball,129,0,Colors_familiar-Ball-Car,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,130,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,0,5,Shoe Wheresthe_ Shoe,131,0,Colors_familiar-Shoe-Car,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,132,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,133,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,0,5,Shoe Canyoufindthe_ Shoe,134,0,Colors_familiar-Shoe-Car,NA,0,eng,NA
right,TRUE,Colors_familiar,3,6,Dog Wheresthe_ Dog,135,0,Colors_familiar-Dog-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,8,3,Ball Canyoufindthe_ Ball,136,0,Colors_familiar-Ball-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,137,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,4,3,Baby Canyoufindthe_ Baby,138,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
