trial_id,trial_order,trial,trial_type_id,excluded,exclusion_reason,trial_aux_data
54,7,7,52,TRUE,no looking 2nd target window (4500-5967,NA
55,8,8,7,FALSE,included,NA
56,1,1,53,FALSE,included,NA
57,2,2,54,FALSE,included,NA
58,3,3,55,FALSE,included,NA
59,4,4,56,FALSE,included,NA
60,5,5,57,FALSE,included,NA
61,6,6,58,FALSE,included,NA
62,7,7,59,FALSE,included,NA
63,8,8,45,FALSE,included,NA
64,1,1,60,FALSE,included,NA
65,2,2,61,TRUE,< 50% looking on trial,NA
66,3,3,62,FALSE,included,NA
67,4,4,63,TRUE,< 50% looking on trial,NA
68,5,5,64,FALSE,included,NA
69,6,6,65,FALSE,included,NA
70,7,7,66,FALSE,included,NA
71,8,8,67,TRUE,< 50% looking on trial,NA
72,2,2,9,FALSE,included,NA
73,3,3,68,FALSE,included,NA
74,4,4,69,TRUE,< 50% looking on trial,NA
75,5,5,70,FALSE,included,NA
76,6,6,71,FALSE,included,NA
77,7,7,72,FALSE,included,NA
78,8,8,73,FALSE,included,NA
79,1,1,74,FALSE,included,NA
80,2,2,75,FALSE,included,NA
81,3,3,76,FALSE,included,NA
82,4,4,77,FALSE,included,NA
83,5,5,78,FALSE,included,NA
84,6,6,79,FALSE,included,NA
85,7,7,80,FALSE,included,NA
86,8,8,81,FALSE,included,NA
87,1,1,82,FALSE,included,NA
88,2,2,83,FALSE,included,NA
89,3,3,84,FALSE,included,NA
90,4,4,85,FALSE,included,NA
91,5,5,86,FALSE,included,NA
92,6,6,87,TRUE,< 50% looking on trial,NA
93,7,7,88,FALSE,included,NA
94,8,8,89,TRUE,< 50% looking on trial,NA
95,1,1,90,FALSE,included,NA
96,2,2,91,TRUE,no looking 2nd target window (4500-5967,NA
97,3,3,92,FALSE,included,NA
98,4,4,93,TRUE,< 50% looking on trial,NA
99,5,5,94,FALSE,included,NA
100,6,6,95,FALSE,included,NA
101,7,7,96,FALSE,included,NA
102,8,8,97,TRUE,no looking 1st target window (367-2333ms),NA
103,1,1,98,FALSE,included,NA
104,2,2,54,TRUE,< 50% looking on trial,NA
105,3,3,99,FALSE,included,NA
106,4,4,56,FALSE,included,NA
107,5,5,100,FALSE,included,NA
108,6,6,101,FALSE,included,NA
109,7,7,102,FALSE,included,NA
110,8,8,23,TRUE,< 50% looking on trial,NA
111,1,1,24,FALSE,included,NA
112,2,2,75,FALSE,included,NA
113,3,3,103,FALSE,included,NA
114,4,4,104,FALSE,included,NA
115,5,5,105,FALSE,included,NA
116,6,6,79,FALSE,included,NA
117,7,7,106,FALSE,included,NA
118,8,8,107,FALSE,included,NA
119,1,1,82,FALSE,included,NA
120,2,2,75,FALSE,included,NA
121,3,3,108,FALSE,included,NA
122,4,4,109,FALSE,included,NA
123,5,5,27,FALSE,included,NA
124,6,6,110,FALSE,included,NA
125,7,7,106,TRUE,< 50% looking on trial,NA
126,8,8,111,FALSE,included,NA
127,1,1,98,FALSE,included,NA
128,2,2,112,FALSE,included,NA
129,3,3,113,FALSE,included,NA
130,4,4,114,FALSE,included,NA
131,5,5,115,FALSE,included,NA
132,6,6,116,FALSE,included,NA
133,7,7,117,FALSE,included,NA
134,8,8,118,FALSE,included,NA
135,1,1,119,FALSE,included,NA
