trial_id,trial_order,trial_type_id,trial_aux_data,excluded,exclusion_reason
577,20,39,NA,FALSE,NA
585,22,40,NA,FALSE,NA
593,23,41,NA,FALSE,NA
601,24,42,NA,FALSE,NA
609,25,43,NA,FALSE,NA
617,26,44,NA,FALSE,NA
625,27,45,NA,FALSE,NA
633,29,46,NA,FALSE,NA
641,30,38,NA,FALSE,NA
649,31,33,NA,FALSE,NA
657,32,39,NA,FALSE,NA
664,33,40,NA,FALSE,NA
671,34,31,NA,FALSE,NA
678,36,47,NA,FALSE,NA
685,37,34,NA,FALSE,NA
692,38,25,NA,FALSE,NA
699,39,26,NA,FALSE,NA
706,40,32,NA,FALSE,NA
713,41,35,NA,FALSE,NA
442,1,24,NA,FALSE,NA
450,2,25,NA,FALSE,NA
458,3,26,NA,FALSE,NA
466,4,27,NA,FALSE,NA
474,5,28,NA,FALSE,NA
482,6,29,NA,FALSE,NA
490,8,30,NA,FALSE,NA
498,9,31,NA,FALSE,NA
506,10,32,NA,FALSE,NA
514,11,33,NA,FALSE,NA
522,12,34,NA,FALSE,NA
530,13,35,NA,FALSE,NA
538,15,28,NA,FALSE,NA
546,16,36,NA,FALSE,NA
554,17,37,NA,FALSE,NA
562,18,30,NA,FALSE,NA
570,19,38,NA,FALSE,NA
578,20,39,NA,FALSE,NA
586,22,40,NA,FALSE,NA
594,23,41,NA,FALSE,NA
602,24,42,NA,FALSE,NA
610,25,43,NA,FALSE,NA
618,26,44,NA,FALSE,NA
626,27,45,NA,FALSE,NA
634,29,46,NA,FALSE,NA
642,30,38,NA,FALSE,NA
650,31,33,NA,FALSE,NA
658,32,39,NA,FALSE,NA
665,33,40,NA,FALSE,NA
672,34,31,NA,FALSE,NA
679,36,47,NA,FALSE,NA
686,37,34,NA,FALSE,NA
693,38,25,NA,FALSE,NA
700,39,26,NA,FALSE,NA
707,40,32,NA,FALSE,NA
443,1,24,NA,FALSE,NA
451,2,25,NA,FALSE,NA
459,3,26,NA,FALSE,NA
467,4,27,NA,FALSE,NA
475,5,28,NA,FALSE,NA
483,6,29,NA,FALSE,NA
491,8,30,NA,FALSE,NA
499,9,31,NA,FALSE,NA
507,10,32,NA,FALSE,NA
515,11,33,NA,FALSE,NA
523,12,34,NA,FALSE,NA
531,13,35,NA,FALSE,NA
539,15,28,NA,FALSE,NA
547,16,36,NA,FALSE,NA
555,17,37,NA,FALSE,NA
563,18,30,NA,FALSE,NA
571,19,38,NA,FALSE,NA
579,20,39,NA,FALSE,NA
587,22,40,NA,FALSE,NA
595,23,41,NA,FALSE,NA
603,24,42,NA,FALSE,NA
611,25,43,NA,FALSE,NA
619,26,44,NA,FALSE,NA
627,27,45,NA,FALSE,NA
635,29,46,NA,FALSE,NA
643,30,38,NA,FALSE,NA
651,31,33,NA,FALSE,NA
659,32,39,NA,FALSE,NA
666,33,40,NA,FALSE,NA
673,34,31,NA,FALSE,NA
680,36,47,NA,FALSE,NA
687,37,34,NA,FALSE,NA
694,38,25,NA,FALSE,NA
701,39,26,NA,FALSE,NA
708,40,32,NA,FALSE,NA
714,41,35,NA,FALSE,NA
716,1,11,NA,FALSE,NA
729,2,8,NA,FALSE,NA
742,3,1,NA,FALSE,NA
755,4,0,NA,FALSE,NA
768,5,10,NA,FALSE,NA
781,6,23,NA,FALSE,NA
794,8,7,NA,FALSE,NA
807,9,16,NA,FALSE,NA
820,10,15,NA,FALSE,NA
833,11,9,NA,FALSE,NA
846,12,14,NA,FALSE,NA
859,13,22,NA,FALSE,NA
872,15,21,NA,FALSE,NA
885,16,20,NA,FALSE,NA
898,17,19,NA,FALSE,NA
911,18,18,NA,FALSE,NA
924,19,17,NA,FALSE,NA
937,20,16,NA,FALSE,NA
950,22,15,NA,FALSE,NA
963,23,14,NA,FALSE,NA
976,24,6,NA,FALSE,NA
989,25,13,NA,FALSE,NA
1002,26,12,NA,FALSE,NA
1015,27,4,NA,FALSE,NA
1028,29,11,NA,FALSE,NA
1041,30,10,NA,FALSE,NA
1054,31,9,NA,FALSE,NA
1067,32,8,NA,FALSE,NA
1080,33,7,NA,FALSE,NA
1093,34,6,NA,FALSE,NA
1106,36,5,NA,FALSE,NA
1118,37,4,NA,FALSE,NA
1130,38,3,NA,FALSE,NA
1142,39,2,NA,FALSE,NA
1154,40,1,NA,FALSE,NA
1165,41,0,NA,FALSE,NA
717,1,11,NA,FALSE,NA
730,2,8,NA,FALSE,NA
743,3,1,NA,FALSE,NA
756,4,0,NA,FALSE,NA
769,5,10,NA,FALSE,NA
782,6,23,NA,FALSE,NA
795,8,7,NA,FALSE,NA
808,9,16,NA,FALSE,NA
821,10,15,NA,FALSE,NA
834,11,9,NA,FALSE,NA
847,12,14,NA,FALSE,NA
860,13,22,NA,FALSE,NA
873,15,21,NA,FALSE,NA
886,16,20,NA,FALSE,NA
899,17,19,NA,FALSE,NA
912,18,18,NA,FALSE,NA
925,19,17,NA,FALSE,NA
938,20,16,NA,FALSE,NA
951,22,15,NA,FALSE,NA
964,23,14,NA,FALSE,NA
977,24,6,NA,FALSE,NA
990,25,13,NA,FALSE,NA
1003,26,12,NA,FALSE,NA
1016,27,4,NA,FALSE,NA
1029,29,11,NA,FALSE,NA
1042,30,10,NA,FALSE,NA
1055,31,9,NA,FALSE,NA
1068,32,8,NA,FALSE,NA
1081,33,7,NA,FALSE,NA
1094,34,6,NA,FALSE,NA
1107,36,5,NA,FALSE,NA
1119,37,4,NA,FALSE,NA
1131,38,3,NA,FALSE,NA
1143,39,2,NA,FALSE,NA
1155,40,1,NA,FALSE,NA
1166,41,0,NA,FALSE,NA
718,1,11,NA,FALSE,NA
731,2,8,NA,FALSE,NA
744,3,1,NA,FALSE,NA
757,4,0,NA,FALSE,NA
770,5,10,NA,FALSE,NA
783,6,23,NA,FALSE,NA
796,8,7,NA,FALSE,NA
809,9,16,NA,FALSE,NA
822,10,15,NA,FALSE,NA
835,11,9,NA,FALSE,NA
848,12,14,NA,FALSE,NA
861,13,22,NA,FALSE,NA
874,15,21,NA,FALSE,NA
887,16,20,NA,FALSE,NA
900,17,19,NA,FALSE,NA
913,18,18,NA,FALSE,NA
926,19,17,NA,FALSE,NA
939,20,16,NA,FALSE,NA
952,22,15,NA,FALSE,NA
965,23,14,NA,FALSE,NA
978,24,6,NA,FALSE,NA
991,25,13,NA,FALSE,NA
1004,26,12,NA,FALSE,NA
1017,27,4,NA,FALSE,NA
1030,29,11,NA,FALSE,NA
1043,30,10,NA,FALSE,NA
1056,31,9,NA,FALSE,NA
1069,32,8,NA,FALSE,NA
1082,33,7,NA,FALSE,NA
1095,34,6,NA,FALSE,NA
719,1,11,NA,FALSE,NA
732,2,8,NA,FALSE,NA
745,3,1,NA,FALSE,NA
758,4,0,NA,FALSE,NA
771,5,10,NA,FALSE,NA
784,6,23,NA,FALSE,NA
797,8,7,NA,FALSE,NA
810,9,16,NA,FALSE,NA
823,10,15,NA,FALSE,NA
836,11,9,NA,FALSE,NA
849,12,14,NA,FALSE,NA
862,13,22,NA,FALSE,NA
875,15,21,NA,FALSE,NA
888,16,20,NA,FALSE,NA
901,17,19,NA,FALSE,NA
914,18,18,NA,FALSE,NA
927,19,17,NA,FALSE,NA
940,20,16,NA,FALSE,NA
953,22,15,NA,FALSE,NA
966,23,14,NA,FALSE,NA
979,24,6,NA,FALSE,NA
992,25,13,NA,FALSE,NA
1005,26,12,NA,FALSE,NA
1018,27,4,NA,FALSE,NA
1031,29,11,NA,FALSE,NA
1044,30,10,NA,FALSE,NA
1057,31,9,NA,FALSE,NA
1070,32,8,NA,FALSE,NA
